UID,movie,how_long_ago
3,Titanic (1997),6to10
3,Monty Python and the Holy Grail (1975),1to5
3,Fight Club (1999),1
3,Toy Story (1995),6to10
3,Blade Runner (1982),1to5
7,Dead Man Walking (1995),1to5
7,Men in Black (a.k.a. MIB) (1997),1
7,National Treasure (2004),1to5
7,Beauty and the Beast (1991),1to5
7,Batman Forever (1995),1
7,American History X (1998),1to5
7,Mission: Impossible II (2000),1
7,Gigli (2003),1to5
7,Aladdin (1992),1
7,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",-1
31,Men in Black (a.k.a. MIB) (1997),1to5
31,Blade Runner (1982),6to10
31,"Lion King, The (1994)",6to10
31,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",1to5
31,"Godfather, The (1972)",6to10
31,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
31,Willy Wonka & the Chocolate Factory (1971),1to5
31,Ace Ventura: When Nature Calls (1995),6to10
31,Die Hard (1988),gt10
31,Titanic (1997),gt10
40,Mulholland Drive (2001),1to5
40,Back to the Future Part III (1990),6to10
40,Kill Bill: Vol. 2 (2004),1to5
40,This Is Spinal Tap (1984),6to10
40,"Lion King, The (1994)",6to10
40,Random Hearts (1999),1to5
40,Star Wars: Episode IV - A New Hope (1977),6to10
40,"Goonies, The (1985)",6to10
40,Fargo (1996),1to5
40,Lethal Weapon 3 (1992),6to10
44,Groundhog Day (1993),6to10
44,Ace Ventura: Pet Detective (1994),6to10
44,Reservoir Dogs (1992),6to10
44,Chasing Amy (1997),6to10
44,Beetlejuice (1988),gt10
44,Aladdin (1992),6to10
44,"Fugitive, The (1993)",1to5
44,Pi (1998),1to5
44,Maverick (1994),1to5
44,Star Wars: Episode IV - A New Hope (1977),1to5
46,Beetlejuice (1988),1to5
46,"Little Princess, A (1995)",6to10
46,Natural Born Killers (1994),1to5
46,Forrest Gump (1994),6to10
46,Dark City (1998),1to5
46,Waterworld (1995),6to10
46,National Treasure (2004),1to5
46,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),6to10
46,Kill Bill: Vol. 2 (2004),1to5
46,"Matrix, The (1999)",6to10
50,"Godfather, The (1972)",6to10
