UID,movie,tag,rating,easy
3,Titanic (1997),romance,5,Strongly agree
3,Monty Python and the Holy Grail (1975),religion,4,Agree
3,Fight Club (1999),disturbing,4,Neither agree nor disagree
3,Toy Story (1995),witty,5,Agree
3,Blade Runner (1982),space,3,Neither agree nor disagree
7,Dead Man Walking (1995),religion,3,Neither agree nor disagree
7,Men in Black (a.k.a. MIB) (1997),humorous,4,Strongly agree
7,National Treasure (2004),pirates,5,Neither agree nor disagree
7,Beauty and the Beast (1991),musical,5,Agree
7,Batman Forever (1995),superhero,3,Agree
7,American History X (1998),holocaust,3,Agree
7,Mission: Impossible II (2000),predictable,2,Agree
7,Gigli (2003),overrated,4,Disagree
7,Aladdin (1992),thriller,4,Neither agree nor disagree
7,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,3,Neither agree nor disagree
31,Men in Black (a.k.a. MIB) (1997),funny,4,Disagree
31,Blade Runner (1982),space,1,Strongly agree
31,"Lion King, The (1994)",animation,2,Agree
31,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,3,Agree
31,"Godfather, The (1972)",stylized,3,Agree
31,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
31,Willy Wonka & the Chocolate Factory (1971),surreal,2,Neither agree nor disagree
31,Ace Ventura: When Nature Calls (1995),stupid,5,Strongly agree
31,Die Hard (1988),christmas,2,Strongly disagree
31,Titanic (1997),romance,2,Neither agree nor disagree
40,Mulholland Drive (2001),unique,3,Agree
40,Back to the Future Part III (1990),western,3,Agree
40,Kill Bill: Vol. 2 (2004),martial arts,4,
40,This Is Spinal Tap (1984),documentary,4,Agree
40,"Lion King, The (1994)",animation,4,Agree
40,Random Hearts (1999),boring,4,Agree
40,Star Wars: Episode IV - A New Hope (1977),twist ending,4,Agree
40,"Goonies, The (1985)",pirates,4,Agree
40,Fargo (1996),surreal,4,Agree
40,Lethal Weapon 3 (1992),martial arts,3,Agree
44,Groundhog Day (1993),existentialism,3,Agree
44,Ace Ventura: Pet Detective (1994),comedy,3,Disagree
