UID,tag,familiar,how_often,first,second,third
3,romance,5,5,love,relationship ,happiness
3,religion,5,5,worship,god,pilgrim
3,disturbing,5,5,fights ,gore,blood
3,witty,3,3,clever,smart,funny
3,space,5,5,stars,galaxy,nebula
7,religion,3,4,temple,pray,belive
7,humorous,4,4,happy,laugh,words
7,pirates,4,3,money ,illegal,criminal
7,musical,5,4,dance,instrumental,musician
7,superhero,2,3,protect,honest,power
7,holocaust,3,4,damage,mercy,fire
7,predictable,2,4,rain,climate,health
7,overrated,4,3,words,attitude,ego
7,thriller,2,3,panic,adventure,risk
7,steampunk,2,2,machine,steam,new
31,funny,5,4,smile,joke,comedy
31,space,2,5,place,huge,long
31,animation,4,5,cartoon,graphics ,child
31,steampunk,3,3,steam,punk,style
31,stylized,2,4,ceremonial,elegant ,exaggerated 
31,pirates,3,3,rover,raider,freebooter
31,surreal,4,5,weird ,unreal,fake
31,stupid,4,3,nonsense,foolish,funny
31,christmas,4,4,cultural ,religion,vacation 
31,romance,5,4,love,couple,family
40,unique,4,3,singly,unique,incomparable
40,western,3,3,freedom, grateful,full
40,documentary,3,4,Writing the Script,Finesse Your Project.,.Compel Your Viewer
40,animation,4,3,energy, enthusiasm,ardor
40,boring,4,3,blahs,doldrums,ennui
40,twist ending,3,3,Once in a blue moon,Reading a book,To be free
40,pirates,3,2,ahoy - hello,Sink me,Shiver me timbers
40,surreal,4,3,aberrant,abnormal,absurd
40,martial arts,4,3,Jujutsu: Japan,Ninjutsu: Japan,Taekwondo: Korea
44,existentialism,4,4,HUMAN ,EXISTENCE,INQUIRY
44,comedy,4,4,JOKE,LAUGH ,SMILE
44,mafia,4,4,GANG,FILM,MURDER
44,comic book,5,5,STORY,STUDY,INTEREST
44,horror,5,5,THRILL,FILM,FEEL
44,animation,4,4,CARTOON,DRAWING,MOVEMENT
44,prison,4,4,JAIL,ARREST,PUNISH
44,art house,4,4,HUT,HOME,DRAWING
44,western,4,4,DANCE,SONG,STYLE
44,serial killer,4,4,KILLING,MURDER,REPEAT
46,horror,3,2,awe,terror,dread
46,serial killer,3,2,ted bundy,albert fish,john wayne gacy
46,india,4,3,dreamy,philosophic,bengal
46,environmental,3,2,deforestation,climate,carbon dioxide
46,pirates,4,3,parrot,pirate ship,peg leg
46,steampunk,2,3,Plot and Characters,Behavior and Society Rules,Point of Diversion
46,martial arts,3,2,Kung Fu: Chinese,Brazilian Jiu Jitsu: Brazil,Karate: Japan
46,stylized,4,3,Taking my dog for a walk is fun,Walking in the rain can be difficult,Getting a promotion is exciting.
50,stylized,5,4,participial,gerund,infinitive
50,martial arts,5,4,Karate,Taekwondo,Ninjutsu
