,UID,movie,tag,rating,familiar,how_often,easy,how_long_ago,consistency,obj,subj,misc,genre,label,category
0,3,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
1,31,Titanic (1997),romance,2,5.0,4.0,3.0,4.0,0,0,0,0,1,3.0,genre
2,53,Titanic (1997),romance,5,5.0,4.0,,3.0,1,0,0,0,1,3.0,genre
3,64,Titanic (1997),romance,5,5.0,4.0,5.0,4.0,1,0,0,0,1,3.0,genre
4,76,Titanic (1997),romance,4,5.0,5.0,4.0,4.0,0,0,0,0,1,3.0,genre
5,100,Titanic (1997),romance,5,4.0,5.0,,4.0,1,0,0,0,1,3.0,genre
6,157,Titanic (1997),romance,5,,5.0,2.0,3.0,1,0,0,0,1,3.0,genre
7,217,Titanic (1997),romance,5,5.0,5.0,,4.0,1,0,0,0,1,3.0,genre
8,218,Titanic (1997),romance,5,5.0,5.0,5.0,1.0,1,0,0,0,1,3.0,genre
9,219,Titanic (1997),romance,4,4.0,2.0,4.0,2.0,0,0,0,0,1,3.0,genre
10,222,Titanic (1997),romance,5,5.0,5.0,3.0,2.0,1,0,0,0,1,3.0,genre
11,227,Titanic (1997),romance,5,4.0,5.0,4.0,4.0,1,0,0,0,1,3.0,genre
12,228,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
13,231,Titanic (1997),romance,5,3.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
14,235,Titanic (1997),romance,5,5.0,2.0,5.0,1.0,1,0,0,0,1,3.0,genre
15,236,Titanic (1997),romance,5,4.0,5.0,2.0,1.0,1,0,0,0,1,3.0,genre
16,249,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
17,254,Titanic (1997),romance,5,5.0,4.0,4.0,4.0,1,0,0,0,1,3.0,genre
18,256,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
19,262,Titanic (1997),romance,5,5.0,4.0,5.0,1.0,1,0,0,0,1,3.0,genre
20,275,Titanic (1997),romance,3,5.0,5.0,4.0,2.0,0,0,0,0,1,3.0,genre
21,279,Titanic (1997),romance,5,5.0,5.0,,4.0,1,0,0,0,1,3.0,genre
22,276,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
23,278,Titanic (1997),romance,5,5.0,4.0,5.0,2.0,1,0,0,0,1,3.0,genre
24,300,Titanic (1997),romance,5,4.0,2.0,5.0,1.0,1,0,0,0,1,3.0,genre
